Name,P_1,PV_1,P_2,PV_2,P_3,PV_3,P_4,PV_4,P_5,PV_5,P_6,PV_6,P_7,PV_7,P_8,PV_8,P_9,PV_9,P_10,PV_10,P_11,PV_11,P_12,PV_12,P_13,PV_13,P_14,PV_14
"
Nishija Akshita Eastern Meadows
",Address,"Nishija Akshita Eastren Meadows, Bommalaramaram, Ghatkesar, Hyderabad
",Project Size,"97 Acre
",Launch Date,"Oct 23
",Status,"Ready To Move
",Price per Sqft,₹1333 - 13000,Completed in,"Nov 23
",Total Units,"1028
",Project Type,"Residential
",Property Type," Plot
",Pincode,"501301
",,,,,,,,
"
Patel Smondo
",Address,"Gachibowli, Hyderabad, Telangana
",Project Size,"5 Acre
",Launch Date,"Mar 13
",Total Floors,"16
",Status,"Under Construction
",Price per Sqft,₹8711 - 8920,Completed in,"Oct 23
",Total Units,"372
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500032
"
"
Gopi Gladiolus
",Address,"Alkapur Township, Hyderabad, Andhra Pradesh
",Launch Date,"Dec 22
",Status,"Under Construction
",Price per Sqft,₹6194,Possession by,"Aug 24
",Total Units,"10
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500075
",,,,,,,,
"
Rubrick Tripura
",Address,"Gowdavalli, Hyderabad
",Project Size,"5 Acre
",Launch Date,"Mar 22
",Status,"Under Construction
",Price per Sqft,₹4500 - 5894,Possession by,"Sep 24
",Total Units,"638
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500043
",,
"
ASBL Springs
",Address,"Pocharam, Hyderabad
",Project Size,"4 Acre
",Launch Date,"May 21
",Status,"Under Construction
",Price per Sqft,₹5708 - 6373,Possession by,"Sep 24
",Total Units,"478
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500088
",,
"
Infocity County
",Status,"Under Construction
",Price per Sqft,₹7729 - 8803,Project Type,"Residential
",Property Type,"Villa
",Pincode,"502319
",,,,,,,,,,,,,,,,,,
"
Ramky One Astra
",Address,"Kokapet, Hyderabad
",Project Size,"4 Acre
",Launch Date,"May 23
",Status,"Under Construction
",Price per Sqft,₹6504,Possession by,"Jun 26
",Total Units,"292
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500075
",,,,,,
"
Udaya Skyvert
",Address,"West Balaji Hill Colony, Sai Nagar, Uppal, Secunderabad, Hyderabad, Telangana
",Project Size,"3 Acre
",Launch Date,"Nov 22
",Status,"Under Construction
",Price per Sqft,₹6387 - 6499,Possession by,"Jun 25
",Total Units,"372
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500039
",,
"
Candeur 40
",Address,"1, Miyapur Rd, Sri Rangapuram colony, Sri Aurobindo Colony, Miyapur, Telangana
",Launch Date,"Oct 20
",Status,"Under Construction
",Price per Sqft,₹7200 - 7987,Possession by,"Sep 26
",Total Units,"959
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500049
",,,,,,,,
"
Solitaire Heights
",Address,"Sravanthi constructions pvt ltd, Solitaire heights project, Yellareddy guda, Ameerpet - 500073
",Project Size,"3 Acre
",Launch Date,"Jan 18
",Status,"Under Construction
",Price per Sqft,₹11535,Completed in,"Oct 22
",Total Units,"285
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500038
",,
"
Vishnu Krupas Golden Oriole
",Project Size,"2 Acre
",Launch Date,"Jan 18
",Status,"Under Construction
",Price per Sqft,₹7627,Completed in,"Dec 20
",Total Units,"252
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"502325
",,,,,,,,
"
RIVERSCAPE
",Address,"Velly View Enclave, Bandlaguda Jagir, Hyderabad Telangana
",Project Size,"23 Acre
",Launch Date,"Jun 22
",Status,"Under Construction
",Price per Sqft,₹12009 - 19412,Possession by,"Jun 25
",Total Units,"226
",Project Type,"Residential
",Property Type,"Villa
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500093
",,,,
"
VB City
",Address,"Railway Employees Colony Phase I, Railway Employees Colony, Bolarum, Secunderabad, Telangana 500014
",Project Size,"12 Acre
",Launch Date,"Jan 19
",Status,"Ready To Move
",Price per Sqft,₹6005 - 6057,Possession by,"Dec 24
",Total Units,"1040
",Total Towers,"16
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500014
",,
"
My Home Mangala
",Address,"Survey No. 98, Kondapur, Hyderabad, Andhra Pradesh
",Project Size,"20 Acre
",Launch Date,"Mar 19
",Status,"Under Construction
",Price per Sqft,₹9869 - 13035,Possession by,"Jan 25
",Total Units,"1879
",Total Towers,"11
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500084
",,
