Name,P_1,PV_1,P_2,PV_2,P_3,PV_3,P_4,PV_4,P_5,PV_5,P_6,PV_6,P_7,PV_7,P_8,PV_8,P_9,PV_9,P_10,PV_10,P_11,PV_11,P_12,PV_12,P_13,PV_13,P_14,PV_14
"
Nestcons Dhruva Tara
",Address,"Plot No 79& 80, Nagireddy Nagar, Alwal, Secunderabad, Telangana
",Project Size,"1104 Sq-yrd
",Launch Date,"Jul 19
",Status,"Ready To Move
",Price per Sqft,₹5510 - 5860,Completed in,"Apr 23
",Total Units,"11
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Commencement Certificate,"Yes
",Pincode,"500015
",,,,
"
Happiness Hub
",Address,"Plot No.23,24 Sy.no.24/Part 19, Peeramcheru, Gandipet Mandal, R.R. Dist Near TSPA (APPA) Junction
",Project Size,"5 Acre
",Launch Date,"Aug 22
",Status,"Under Construction
",Price per Sqft,₹6000,Possession by,"Dec 25
",Total Units,"567
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500030
",,,,,,
"
Canny Aravindam
",Address,"Bowrampet Village, Gandimisamma Mandal, Medchal-Malkajgiri District
",Project Size,"3 Acre
",Launch Date,"Nov 23
",Status,"Under Construction
",Price per Sqft,₹4399,Possession by,"Jun 26
",Total Units,"360
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Commencement Certificate,"Yes
",Pincode,"500043
",,,,
"
ASBL Loft
",Address,"ASBL Loft, Plot No. 312P 313P, Puppalguda Village, Gandipet Villag, Ranga Reddy District, Telangana
",Project Size,"5 Acre
",Launch Date,"Sep 23
",Status,"Under Construction
",Price per Sqft,₹8499 - 10914,Possession by,"Dec 26
",Total Units,"894
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500089
",,,,,,
"
Kompally County III
",Address,"Near Ayodhya Cross Road, Gundlapochampally, Hyderabad
",Project Size,"18 Acre
",Launch Date,"Apr 23
",Status,"Ready To Move
",Price per Sqft,₹2900 - 3778,Completed in,"May 23
",Project Type,"Residential
",Property Type," Plot
",Pincode,"500043
",,,,,,,,,,
"
Aparna CyberHeights
",Address,"C7PF+WH, Osman Nagar, Hyderabad, Telangana
",Project Size,"6 Acre
",Launch Date,"Dec 22
",Status,"Under Construction
",Price per Sqft,₹5600 - 6899,Possession by,"Mar 26
",Total Units,"708
",Total Towers,"5
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500019
",,,,,,
"
Sri Mytri Avasa
",Address,"Near ICFAI Business School, Shankarpally Road, Mokila Village, Hyderabad
",Project Size,"10 Acre
",Launch Date,"Sep 20
",Status,"Under Construction
",Price per Sqft,₹7914 - 13733,Completed in,"Apr 23
",Total Units,"113
",Project Type,"Residential
",Property Type,"Villa
",Pincode,"501503
",,,,,,,,
"
Sikhara One
",Address,"Behind SNR Convention, Attapur, Telangana 500048
",Project Size,"2 Acre
",Launch Date,"Jan 23
",Status,"Under Construction
",Price per Sqft,₹7100,Possession by,"Dec 24
",Total Units,"182
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500064
",,,,,,
"
Pranava One Hyderabad
",Address,"6-3-654/1 TO 9 AND 6-3-654/A, at SOMAJIGUDA, KHAIRTABAD, Hyderabad
",Project Size,"1 Acre
",Launch Date,"Nov 22
",Status,"Under Construction
",Price per Sqft,₹14000 - 15000,Completed in,"Jun 23
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500082
",,,,,,,,
"
GK Rajs Casa Grande
",Address,"Yapral, Hyderabad, Andhra Pradesh
",Project Size,"5 Acre
",Launch Date,"Nov 20
",Status,"Under Construction
",Price per Sqft,₹6200 - 7288,Possession by,"May 24
",Total Units,"280
",Total Towers,"8
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500087
",,
"
Mahaveer Crystal Garden
",Address,"Pillar no 86, inner Ring road, Mehdipatnam road, Hyderabad 500028
",Project Size,"5 Acre
",Launch Date,"Mar 22
",Status,"Under Construction
",Price per Sqft,₹8000,Possession by,"Mar 26
",Total Units,"790
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500064
",,,,,,
"
Vasavi Ananda Nilayam
",Address,"LB Nagar, Hyderabad
",Project Size,"29 Acre
",Launch Date,"Jan 23
",Status,"Under Construction
",Price per Sqft,₹4999 - 5714,Possession by,"Dec 26
",Total Units,"3576
",Total Towers,"11
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500035
",,,,,,
"
Sree Laxmi Gardenia
",Address,"Patancheru, Sangareddy
",Project Size,"2 Acre
",Launch Date,"Jan 23
",Status,"Under Construction
",Price per Sqft,₹4332 - 4515,Possession by,"Dec 24
",Total Units,"168
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"502319
",,,,,,
"
Visions Arsha
",Address,"Tellapur, Hyderabad
",Project Size,"11 Acre
",Launch Date,"Nov 22
",Status,"Under Construction
",Price per Sqft,₹6500 - 7987,Possession by,"Dec 25
",Total Units,"1561
",Total Towers,"7
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500019
",,,,,,
"
Aparna Synergy
",Address,"At Domaripochampally, Dundigal Gandimaisamma, Medchal Malkajgiri, 500014
",Project Size,"28 Acre
",Launch Date,"Jul 23
",Status,"Under Construction
",Price per Sqft,Call For Price,Possession by,"Jun 28
",Total Units,"3345
",Total Towers,"15
",Project Type,"Residential
",Property Type,"Builder Floor
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500043
",,
"
SMR Vinay Casa Carino
",Address,"Kismatpur Rd, Abhyudaya Nagar, Bandlaguda Jagir, Hyderabad, Telangana
",Project Size,"22 Acre
",Launch Date,"Dec 18
",Status,"Under Construction
",Price per Sqft,₹14784 - 15638,Completed in,"Dec 23
",Total Units,"218
",Project Type,"Residential
",Property Type,"Villa
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500030
",,,,
"
Sukhii Ubuntu
",Project Size,"5 Acre
",Launch Date,"Mar 22
",Status,"Under Construction
",Price per Sqft,₹8072 - 8235,Possession by,"Dec 25
",Total Units,"855
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500089
",,,,
"
GVK Sky City
",Address,"GVK SKY CITY, 1239, 6-3, 1/B, Raj Bhavan Rd, Somajiguda, Hyderabad, Telangana
",Project Size,"3 Acre
",Launch Date,"Jan 19
",Status,"Under Construction
",Price per Sqft,₹10801 - 16202,Possession by,"Jan 25
",Total Units,"98
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500082
",,,,,,
"
Mahidhara Paradise
",Address,"Isnapur (Patancheru), Hyderabad
",Project Size,"31 Acre
",Launch Date,"Apr 22
",Status,"Under Construction
",Price per Sqft,₹3659 - 7081,Completed in,"Dec 23
",Total Units,"471
",Project Type,"Residential
",Property Type,"Villa
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"502307
",,,,
"
Surya Classic
",Address,"82, 82/1, Gajula Ramaram 1, Qutballapur, MedchalMalkajgiri
",Project Size,"1 Acre
",Launch Date,"Mar 22
",Status,"Under Construction
",Price per Sqft,₹4759 - 4803,Completed in,"Sep 23
",Total Units,"55
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500043
",,,,,,,,
"
Nestcons Oasis
",Address,"Plot No.49, Venugopal Nagar, Alwal, Secunderabad, Telangana 500015
",Project Size,"400 Sq-yrd
",Launch Date,"Jun 20
",Status,"Ready To Move
",Price per Sqft,₹5556 - 5746,Completed in,"May 23
",Total Units,"10
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500015
",,,,,,
"
Rajapushpa Provincia
",Address,"99V3+57, Sy.No: 206, Nanakramguda Service Road, Puppalaguda, beside Avatar, Narsingi, Hyderabad
",Project Size,"23 Acre
",Launch Date,"Mar 21
",Status,"Under Construction
",Price per Sqft,₹9059 - 12828,Possession by,"Mar 25
",Total Units,"3498
",Total Towers,"11
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500075
",,,,,,
"
SR HAMPI Residency
",Address,"Janapriya westcity colony, Miyapur, Hyderabad.
",Launch Date,"Mar 22
",Status,"Under Construction
",Price per Sqft,₹5600,Possession by,"Mar 24
",Total Units,"45
",Project Type,"Residential
",Property Type,"Flat
",Commencement Certificate,"Yes
",Pincode,"500049
",,,,,,,,
"
Rami Reddy Towers
",Address,"Puppalguda, Hyderabad
",Project Size,"4 Acre
",Status,"Under Construction
",Price per Sqft,₹7000 - 8501,Possession by,"Jun 24
",Total Units,"370
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500075
",,,,,,,,
"
Hirize Elysia
",Address,"98JP+J3J, Narsingi, Hyderabad, Telangana
",Project Size,"3 Acre
",Launch Date,"Apr 23
",Status,"Under Construction
",Price per Sqft,₹7299 - 8333,Possession by,"Dec 26
",Total Units,"371
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500075
",,
"
Solitaire Unity
",Address,"Kondapur
",Project Size,"3 Acre
",Launch Date,"Sep 21
",Status,"Under Construction
",Price per Sqft,₹7499 - 9796,Possession by,"Dec 24
",Total Units,"352
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500084
",,,,,,
"
Vasavi Skyla
",Address,"Rd Number 1, Hanuman Nagar, Shilpa Hills, Kondapur, Telangana 500084
",Project Size,"6 Acre
",Launch Date,"May 22
",Status,"Under Construction
",Price per Sqft,₹7299 - 11111,Possession by,"Nov 27
",Total Units,"685
",Total Towers,"5
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500084
",,
"
Alpine Vistas
",Address,"Patancheruvu, Hyderabad, Telangana
",Project Size,"11 Acre
",Launch Date,"Feb 21
",Status,"Under Construction
",Price per Sqft,₹6424,Possession by,"Feb 24
",Total Units,"171
",Project Type,"Residential
",Property Type,"Villa
",Pincode,"502319
",,,,,,,,
"
Praneeth Pranav Daffodils
",Address,"Bowrampet, Hyderabad
",Project Size,"3 Acre
",Launch Date,"Mar 22
",Status,"Under Construction
",Price per Sqft,₹4899,Possession by,"Jan 24
",Total Units,"230
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"502325
",,
"
Nestcons Jade
",Address,"Sy No 194 Part, Lot No Of Site 1-18-78, A64 Alwal Medchal-Malkajgiri, Hyderabad
",Project Size,"509 Sq-yrd
",Launch Date,"May 19
",Status,"Ready To Move
",Price per Sqft,₹5700 - 6029,Completed in,"Apr 23
",Total Units,"10
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"Yes
",Commencement Certificate,"Yes
",Pincode,"500015
",,
"
Concrete Avasa
",Address,"Opp: Kalyan Lakshmi Gardens, Rajyalakshmi colony, Rd Number 1, Nagole, Hyderabad, Telangana
",Project Size,"4 Acre
",Launch Date,"Jun 20
",Status,"Ready To Move
",Price per Sqft,₹5455 - 6245,Completed in,"Jun 22
",Total Units,"270
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500068
",,
"
Rajapushpa Pristinia
",Address,"Kokapet-Neopolis Road, Telengana
",Project Size,"12 Acre
",Launch Date,"Mar 23
",Status,"Under Construction
",Price per Sqft,₹7219 - 8280,Possession by,"Feb 28
",Total Units,"1782
",Total Towers,"6
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500075
",,
"
Jewel Heights
",Address,"Kukatpally, Near Hi Tech City, Hyderabad
",Project Size,"2 Acre
",Launch Date,"Jan 20
",Status,"Under Construction
",Price per Sqft,₹7200 - 8010,Completed in,"Dec 21
",Total Units,"208
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500072
",,,,,,
"
Serene Park
",Address,"Sy. No.96(P), 97(P), 98(P) & 99(P) Ghatkesar Village, Ghatkesar Mandal, Medchal- Malkajgiri District
",Project Size,"3 Acre
",Status,"Ready To Move
",Price per Sqft,₹4787 - 4887,Completed in,"Dec 22
",Total Units,"570
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"501301
",,,,,,
"
Cannys Forest Edge
",Address,"Bachupally, Hyderabad
",Project Size,"1 Acre
",Launch Date,"Dec 21
",Status,"Under Construction
",Price per Sqft,₹5447 - 5616,Possession by,"Jun 24
",Total Units,"197
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"502325
",,
"
Urbanrise The World Of Joy
",Address,"Survey No. 178 to 181, Sri Vani Nagar, Vediri Township, Mandal, HMT Swarnapuri Colony, Ameenpur
",Project Size,"10 Acre
",Launch Date,"Aug 23
",Status,"Under Construction
",Price per Sqft,₹6799 - 7262,Possession by,"Dec 27
",Total Towers,"5
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"Yes
",Commencement Certificate,"Yes
",Pincode,"502325
",,,,
"
Vajras Abode
",Address,"Kukatpally, Hyderabad, Andhra Pradesh
",Project Size,"4 Acre
",Launch Date,"Oct 22
",Status,"Under Construction
",Price per Sqft,₹6321 - 6999,Possession by,"Mar 25
",Total Units,"407
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500072
",,,,,,
"
Hallmark Skyrena
",Address,"Hallmark Skyrena, Survey No: 340/8, 430/9 Plot No:- Of Site , at Gandipet Ranga Reddy, 500089.
",Project Size,"7 Acre
",Launch Date,"Jun 21
",Status,"Under Construction
",Price per Sqft,₹7174 - 9057,Possession by,"Oct 24
",Total Units,"678
",Total Towers,"5
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500075
",,
"
Radhey SKYE
",Address,"Beside Gaurdium International School, Velimala, Kollur-502300
",Project Size,"10 Acre
",Launch Date,"Apr 23
",Status,"Under Construction
",Price per Sqft,₹5660 - 6414,Possession by,"Dec 25
",Total Units,"1419
",Total Towers,"7
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"502300
",,
"
Bollineni Bion
",Address,"Forest Dept Colony, Kondapur, Hyderabad, Telangana
",Project Size,"8 Acre
",Launch Date,"Jul 19
",Status,"Ready To Move
",Price per Sqft,₹10620 - 15110,Completed in,"Dec 22
",Total Units,"886
",Total Towers,"5
",Project Type,"Residential
",Property Type,"Flat
",Commencement Certificate,"Yes
",Pincode,"500084
",,,,
"
Sukhii Sree Sumeru
",Address,"Plot No: C1 & C2, D-Mart, Road, near Fire Station, Laxmi Narayan Nagar Colony, Uppal
",Project Size,"1 Acre
",Launch Date,"Feb 23
",Status,"Under Construction
",Price per Sqft,₹5841 - 6199,Possession by,"Dec 24
",Total Units,"180
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500039
",,
"
Anuhar Towers
",Address,"Alkapur Township, Manikonda, Hyderabad, Telangana
",Project Size,"4 Acre
",Launch Date,"Oct 20
",Status,"Under Construction
",Price per Sqft,₹6700 - 10385,Completed in,"Dec 23
",Total Units,"578
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500075
",,
"
Pinnacle
",Address,"G66R+245, Nehru Outer Ring Rd, Kardanur,Kollur ,Hyderabad Telangana
",Project Size,"7 Acre
",Launch Date,"Jul 22
",Status,"Under Construction
",Price per Sqft,₹5799 - 6300,Possession by,"Dec 25
",Total Units,"798
",Total Towers,"8
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"502300
",,
"
Honer Signatis
",Address,"Kukatpally, Hyderabad
",Project Size,"27 Acre
",Launch Date,"Aug 23
",Status,"Under Construction
",Price per Sqft,₹7749 - 8249,Possession by,"Dec 27
",Total Units,"3266
",Total Towers,"18
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500072
",,,,,,
"
Manbhum Home Tree
",Address,"7-73, Sriram Nagar, Jeedimetla, Hyderabad, Telangana 500067
",Project Size,"2 Acre
",Status,"Under Construction
",Price per Sqft,₹6000,Completed in,"Dec 23
",Total Units,"196
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500014
",,,,
"
Akshita Golden Breeze 5
",Address,"Maheshwaram, Situated at survey no 84/PART, At Pulimamidi(v),kandukur(M),Rangareddy district
",Project Size,"22 Acre
",Launch Date,"May 22
",Status,"Ready To Move
",Price per Sqft,₹1556 - 2033,Completed in,"Oct 22
",Total Units,"310
",Project Type,"Residential
",Property Type," Plot
",Occupancy Certificate,"Yes
",Commencement Certificate,"Yes
",Pincode,"501359
",,,,
"
Risinia The Twinz
",Address,"Miyapur Road, Near Coca Cola Depot, Bachupally, Hyderabad, Telangana
",Project Size,"3 Acre
",Launch Date,"Sep 23
",Status,"Under Construction
",Price per Sqft,₹5450 - 5504,Possession by,"Dec 26
",Total Units,"555
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"502325
",,
