Name,P_1,PV_1,P_2,PV_2,P_3,PV_3,P_4,PV_4,P_5,PV_5,P_6,PV_6,P_7,PV_7,P_8,PV_8,P_9,PV_9,P_10,PV_10,P_11,PV_11,P_12,PV_12,P_13,PV_13,P_14,PV_14
"
ASBL Spire
",Address,"Kokapet Village, Gandipet Mandal, Hyderabad, Telangana
",Project Size,"2 Acre
",Launch Date,"Oct 20
",Status,"Under Construction
",Price per Sqft,₹8019 - 10499,Completed in,"Nov 23
",Total Units,"393
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500075
",,,,,,
"
Lotus Grand
",Address,"Narsingi, Gandipet, Ranga Reddy, Hyderbad
",Project Size,"1 Acre
",Launch Date,"Aug 21
",Status,"Under Construction
",Price per Sqft,₹7461 - 7504,Completed in,"Dec 23
",Total Units,"161
",Project Type,"Residential
",Property Type,"Flat, Builder Floor
",Pincode,"500075
",,,,,,,,
"
Urban Lake Front
",Address,"Mahalneknapur, Neknampur, Narsingi, Hyderabad, Telanagana, 500075.
",Project Size,"2640 Sq-yrd
",Launch Date,"Jan 21
",Status,"Under Construction
",Price per Sqft,₹6842,Completed in,"Jun 23
",Total Units,"380
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500075
",,
"
Om Sree Malabar Greens
",Address,"Yapral, Secunderabad.
",Project Size,"10 Acre
",Status,"Under Construction
",Price per Sqft,₹10054 - 10646,Completed in,"Dec 19
",Total Units,"81
",Project Type,"Residential
",Property Type,"Villa
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500087
",,,,,,
"
Orange Estella
",Project Size,"639245 Sq-ft
",Launch Date,"Feb 20
",Status,"Under Construction
",Price per Sqft,₹7641,Completed in,"Sep 23
",Total Units,"273
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500079
",,,,,,,,
"
Urban Commune
",Address,"Sy.No 149 & 211, Manjeera Pipeline road, Bhanur near Mokila, Hyderabad, Telangana
",Project Size,"3 Acre
",Launch Date,"Jun 22
",Status,"Under Construction
",Price per Sqft,₹7500 - 7848,Possession by,"May 24
",Total Units,"41
",Project Type,"Residential
",Property Type,"Villa
",Commencement Certificate,"Yes
",Pincode,"502305
",,,,,,
"
Niharika Skyline
",Address,"Gachibowli, Hyderabad
",Project Size,"1 Acre
",Launch Date,"Oct 20
",Status,"Ready To Move
",Price per Sqft,₹11401 - 12318,Total Units,"168
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500032
",,,,,,,,
"
Udaya Cresent
",Address,"Maharshi Marg,Kondapur, Ranga Reddy, Serilingampally, Telangana, 500084
",Project Size,"4 Acre
",Launch Date,"Jun 18
",Status,"Under Construction
",Price per Sqft,₹9369,Completed in,"Nov 23
",Total Units,"250
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500084
",,
"
Le Grandiose
",Project Size,"2 Acre
",Launch Date,"Dec 19
",Status,"Under Construction
",Price per Sqft,₹12824 - 15062,Possession by,"Nov 25
",Total Units,"80
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500008
",,,,,,,,
"
Aakriti Miro
",Address,"Nallagandla, Serilingampally, Hyderabad, Telangana
",Project Size,"4 Acre
",Total Floors,"12
",Status,"Under Construction
",Price per Sqft,₹6800 - 8391,Completed in,"Nov 23
",Total Units,"404
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500019
",,
"
Keerthi Riverside
",Address,"Part of Suvey No.6, on the ORR Service Road, Near TSPA Junction, Kismathpur, Hyderabad, Telangana
",Project Size,"7 Acre
",Launch Date,"Jun 21
",Status,"Under Construction
",Price per Sqft,₹15000 - 16197,Completed in,"Dec 23
",Total Units,"57
",Project Type,"Residential
",Property Type,"Villa
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500030
",,,,
"
Infocity Premlatha Grandeur
",Address,"Annojiguda, Hyderabad
",Project Size,"4 Acre
",Launch Date,"Aug 19
",Status,"Under Construction
",Price per Sqft,₹4290 - 7834,Completed in,"Mar 21
",Total Units,"132
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"501301
",,,,,,
"
Janapriya Lakefront
",Address,"Malla Reddy Colony, Sainikpuri, Secunderabad, Telangana
",Project Size,"25 Acre
",Launch Date,"Nov 11
",Total Floors,"9
",Status,"Under Construction
",Price per Sqft,₹4184 - 4603,Completed in,"Jul 23
",Total Units,"800
",Total Towers,"10
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500094
"
"
Sahasraa
",Address,"Serilingampally, Hyderabad
",Project Size,"3 Acre
",Launch Date,"May 17
",Status,"Ready To Move
",Price per Sqft,₹8130,Total Units,"75
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500084
",,,,,,,,,,
"
Svadha Mackennas
",Address,"RC Puram, Kollur, Hyderabad
",Project Size,"4 Acre
",Launch Date,"Dec 22
",Status,"Under Construction
",Price per Sqft,₹5015,Possession by,"Dec 25
",Total Units,"492
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"502300
",,
"
Lakshmis Emperia
",Address,"Miyapur, Hyderabad
",Project Size,"4 Acre
",Launch Date,"Feb 20
",Status,"Ready To Move
",Price per Sqft,₹7797,Completed in,"Jan 23
",Total Units,"450
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"Yes
",Commencement Certificate,"Yes
",Pincode,"500049
",,
"
Venice City
",Address,"Kolluru, Patancheruvu, Telangana
",Project Size,"19 Acre
",Launch Date,"Jan 21
",Status,"Ready To Move
",Price per Sqft,₹9000,Completed in,"Sep 21
",Total Units,"268
",Project Type,"Residential
",Property Type,"Villa
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"502300
",,,,
"
Ananda Homes Bay Hills
",Address,"Narsingi - Langar Houz Road , Beside KVMR Function Hall, Narsingi, Hyderabad, Telangana
",Project Size,"5 Acre
",Launch Date,"Mar 17
",Total Floors,"5
",Status,"Ready To Move
",Price per Sqft,₹7331,Completed in,"Mar 21
",Total Units,"304
",Total Towers,"6
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500075
"
"
PBEL City
",Address,"Peeranchuruvu, Hyderabad, Telangana 500086
",Project Size,"25 Acre
",Launch Date,"Jan 18
",Total Floors,"19
",Status,"Under Construction
",Price per Sqft,₹6143,Possession by,"Aug 24
",Total Units,"311
",Total Towers,"14
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"Yes
",Commencement Certificate,"Yes
",Pincode,"500086
"
"
IRA Aspirations
",Address,"Kollur, Hyderabad, Telangana
",Project Size,"8 Acre
",Launch Date,"Dec 20
",Status,"Under Construction
",Price per Sqft,₹5019 - 5687,Completed in,"Dec 23
",Total Units,"748
",Total Towers,"5
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"502300
",,
"
Lumbini Elysee
",Address,"Financial District, Nanakaramguda, Telangana
",Project Size,"2 Acre
",Launch Date,"Apr 23
",Status,"Under Construction
",Price per Sqft,₹9250 - 10231,Possession by,"Jun 25
",Total Units,"156
",Total Towers,"10
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500032
",,
